品类,显示名称,菜谱1,菜谱2,菜谱3,
大排,大排 约1斤／份,葱烤大排,红烧大排,日式炸猪排,
小排,小排 约1斤／份,糖醋小排,孜然排骨,萝卜小排汤,
肋排,肋排 约 1斤／份,蒜香排骨,玉米炖排骨,酱香排骨,
猪脚,猪脚 约,秘制红烧猪蹄,黄豆猪蹄汤,沙姜猪手,
猪肚,猪肚 约1斤／份,青椒猪肚片,胡椒猪肚汤,猪肚包鸡,
大肠,猪大肠 约1斤／份,火爆肥肠,干锅肥肠,白切肥肠,
猪肝,猪肝 约1斤／份,青椒炒猪肝,洋葱炒猪肝,白切猪肝,
里脊肉,里脊肉 约5两／份,软炸里脊肉,爆炒里脊肉,京酱肉丝,
五花肉,五花肉 约1斤／份,红烧肉,红烧狮子头,脆皮烧肉,
纯精肉,纯精肉 约2两／份,京酱肉丝,鱼香肉丝,香菇肉糜,
筒骨,筒骨 约1.2斤／份,筒骨汤,酱香筒骨,,
蹄膀,蹄膀 约2斤／份,红烧蹄膀,黄豆蹄膀,酱香蹄膀,
,,,,,
牛腱,牛腱 约1斤／份,五香牛腱,私房白切牛腱,西红柿炖牛腱,
牛腩,牛腩 约1斤／份,萝卜炖牛腩,咖喱牛腩,香辣牛腩,
,,,,,
鸡全翅,鸡全翅 4个／份,干锅香辣鸡翅,烤全翅,,
鸡腿,鸡腿 2个／份 ,蒜香鸡腿排,口水鸡腿,辣子鸡腿,
鸡中翅,鸡中翅 6个／份 ,红焖鸡翅,可乐鸡翅,孜然鸡翅,
鸡翅根,鸡翅根 6个／份 ,红烧鸡翅根,椒盐烤翅根,,
全鸡,,花椒鸡,新疆大盘鸡,蜜汁烤全鸡,
鸡胸肉,鸡胸肉 约1斤／份,椒麻手撕鸡胸肉,西芹核桃仁炒鸡胸肉,烤面包鸡胸佐圣女果色拉,
鸡爪,鸡爪 约1斤／份,酸辣鸡爪,卤鸡爪,糟卤鸡爪,
全鸭,,滋补老鸭汤,盐水鸭,卤鸭,
鸭腿,鸭腿 2个／份,土匪鸭,蜜汁烤鸭腿,酱香鸭腿肉,
鸭血,鸭血 约5两／份,大蒜叶鸭血汤,鸭血粉丝汤,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
