品类,显示名称,菜谱1,菜谱2,菜谱3
厚百叶,清美 厚百叶,凉拌百叶丝,三丝炒厚百叶,油泼厚百叶
豆腐衣,清美 豆腐衣,豆腐衣包肉,黄金豆皮卷,豆腐衣包菌菇
油面筋,清美 油面筋,油面筋塞肉,油面筋炖大白菜,土豆烧油面筋
素鸡,素鸡,红烧脆皮素鸡,彩椒炒香菇素鸡,孜然五香素鸡
绢豆腐,清美 绢豆腐,鱼香嫩豆腐,皮蛋拌豆腐,豆腐羹
内脂豆腐,清美 内脂豆腐,鱼香嫩豆腐,皮蛋拌豆腐,豆腐羹
腐竹,干腐竹 约3两／份,凉拌腐竹木耳,清炒腐竹,腐竹炒芹菜
五香干,五香干 2块／份,芹菜花生拌香干,卤香干,木耳炒香干
白豆干,白豆干 2块／份,韭香豆干,青椒炒白豆干,
油豆腐,小油豆腐 约3两／份,油豆腐炒肉,油豆腐塞肉,红烧油豆腐
老豆腐,老豆腐 约1斤／份,糖醋脆皮豆腐,家常豆腐,
干丝,,水煮干丝,烫干丝,鸡汁干丝
烤麸,烤麸 约5两／份,四喜烤麸,凉拌烤麸,
