蛋饺,现做食品,8两/份,26.8,
油面筋塞肉,现做食品,1斤/份,23.8,
百叶包肉,现做食品,9两/份,23.8,
紫菜,干货粮油,15g/包,3.5,
黄冰糖,干货粮油,7两/份,7.8,
王守义十三香,干货粮油,45g/盒,4.8,
六月香豆瓣酱,干货粮油,300g/瓶,9.6,
海天黄豆酱,干货粮油,340g/瓶,9.9,
海底捞菌汤火锅底料,干货粮油,110g/袋,13.9,
海底捞清油火锅底料,干货粮油,229g/袋,13.9,
麻辣香锅底料,干货粮油,1袋,13.9,
陈皮,干货粮油,1两/包,3.5,
海天味极鲜酱油,干货粮油,380ml/瓶,9.8,
小茴香,干货粮油,1两/包,3.6,
白蔻,干货粮油,1两/包,3.6,
草果,干货粮油,1两/包,3.6,
家乐浓汤宝老母鸡汤,干货粮油,32g*2/盒,8.6,
家乐浓汤宝猪骨浓汤,干货粮油,32g*2/盒,8.6,
金宫香辣龙虾调料,干货粮油,160g/袋,9.8,
红薯淀粉,干货粮油,300g/袋,6.5,
小米辣,干货粮油,100g/袋,2,
老干妈辣三丁,干货粮油,280g/瓶,9.8,
小麦淀粉,干货粮油,300g/袋,5.6,
单晶冰糖,干货粮油,7两/份,8.9,
广合白腐乳,干货粮油,335g/瓶,9.8,
四季宝柔和花生酱,干货粮油,340g/瓶,18.9,
梅林午餐肉罐头,干货粮油,340g/罐,15.8,
川崎火锅调料海鲜味,干货粮油,100g/盒,4.5,
川崎火锅调料麻辣味,干货粮油,100g/盒,4.5,
鼎丰鲜甜面酱,干货粮油,200g/袋,4,
安琪酵母,干货粮油,5g/袋,2,
辣椒粉粗,干货粮油,1两/份,3.5,
辣椒粉细,干货粮油,1两/份,3.5,
金宫酸菜鱼调料,干货粮油,210g/袋,23.6,
雨润盐方,干货粮油,250g/根,16,
金宫水煮鱼调料,干货粮油,240g/袋,17.8,
锅冉面包糠,干货粮油,150g/包,6.5,
百梦多咖喱块微辣,干货粮油,1盒,9.8,
红枣,干货粮油,250g/份,12.8,
无核切片红枣干,干货粮油,500g/包,18.9,
桂圆,干货粮油,250g/份,13.8,
核桃仁,干货粮油,150g/份,13.8,
蜜枣,干货粮油,200g/份,6.5,
银耳,干货粮油,150g/包,16.8,
绿豆,干货粮油,250g/份,5.8,
红豆,干货粮油,250g/份,5.8,
干贝,干货粮油,100g/份,19.8,
韭菜花,蔬菜,250g/份,6,
大蒜叶,蔬菜,250g/份,5,
