品类,显示名称,菜谱1,菜谱2,菜谱3,图片,详情页文案
平菇,平菇 约5两／份,平菇肉片,平菇小白菜,平菇鸡蛋,／,
鲜香菇,鲜香菇 约5两／份,香菇酿肉,小炒鲜香菇,鲜虾香菇盏,／,
鲜茶树菇,鲜茶树菇 约5两／份,干煸茶树菇,茶树菇排骨汤,茶树菇炖鸡,／,
白蘑菇,白蘑菇 约5两／份,葱油炒蘑菇,双菇荠菜羹,芦笋炒蘑菇,／,
杏鲍菇,杏鲍菇 约5两／份,耗油杏鲍菇,爆炒杏鲍菇,酱爆杏鲍菇,／,
白玉菇,白玉菇 约5两／份,素炒白玉菇,凉拌白玉菇,西芹木耳白玉菇,／,
蟹味菇,蟹味菇 约5两／份,白蟹双菇,素炒蟹味菇,蟹味菇豆腐煲,／,
鸡枞菌,鸡纵菌 约5两／份,清炒鸡纵菌,排骨鸡纵菌汤,,／,
金针菇,金针菇 约5两／份,酸汤金针肥牛卷,凉拌金针菇,孜然烤金针菇,／,
木耳,干木耳（需泡发） 约2两／份,爽口拌木耳,木耳炒鸡蛋,山药炒木耳,／,
大蒜头,大蒜头 3个／份 约3两,蒜蓉粉丝虾,糖醋蒜头,,／,
大葱,大葱 约5两／根,,,,／,
生姜,生姜 约5两／份 ,,,,／,
洋葱,洋葱 约3两／个,洋葱牛肉丝,洋葱炒土豆,洋葱青椒炒肉,／,
香菜,香菜 约2两／份,,,,／,
小葱,小葱 约1两／份,,,,／,
干辣椒,干辣椒,,,,／,
花椒,花椒 ,,,,／,
八角,八角,,,,／,
桂皮,桂皮,,,,／,
香叶,香叶,,,,／,
小米椒,小米椒 约1两／份,,,,／,
,,,,,,
鲫鱼（大）,大鲫鱼（约7两左右／条）,红烧鲫鱼,香辣烤鲫鱼,鲫鱼豆腐汤,／,
鲫鱼（小）,小鲫鱼 3条／份 约1斤左右,红烧鲫鱼,香辣烤鲫鱼,鲫鱼豆腐汤,／,
带鱼,鲫鱼（约7两左右／条）,香煎带鱼,家常烧带鱼,清蒸带鱼,／,
鲈鱼,鲈鱼 （约1斤左右／条）,清蒸鲈鱼,炭烤鲈鱼,鲈鱼豆腐汤,／,
桂鱼,桂鱼 （约1斤左右／条）,清蒸桂鱼,松鼠桂鱼,红烧桂鱼,／,
多宝鱼,多宝鱼 （约1斤2两左右／条）,清蒸多宝鱼,红烧多宝鱼,香煎多宝鱼,／,
老虎斑,老虎斑（活杀） 约,清蒸老虎斑,葱油老虎斑,蚝油老虎斑,／,
,,,,,,
蛏子,蛏子（约1斤／份）,蛏子丝瓜汤,盐焗蛏子,美味爆炒蛏子,／,
