品类,显示名称,菜谱1,菜谱2,菜谱3
莲藕,莲藕 约1斤／份,香辣藕丁,桂花糯米莲藕,莲藕炖排骨
白萝卜,白萝卜 约7两／个,凉拌白萝卜丝,清炒白萝卜丝,白萝卜骨头汤
胡萝卜,胡萝卜 约3两／个,酸辣胡萝卜丝,胡萝卜炒大蒜叶,鱼香胡萝卜丝
土豆,土豆 约5两／个,孜然土豆片,咖喱土豆鸡块,青椒土豆丝
黄豆芽,黄豆芽 约5两／份,爆炒黄豆芽,凉拌黄豆芽,黄豆芽炒粉丝
绿豆芽,绿豆芽 约5两／份,清炒绿豆芽,双椒绿豆芽,绿豆芽炒豆干
秋葵,秋葵 约5两／份,蒜蓉秋葵,秋葵炒鸡丁,秋葵炒肉
地梨,地梨 约1斤／份,马蹄小炒,桂花马蹄糖水,梨藕马蹄汤
地梨（去皮）,去皮地梨 约5两／份,马蹄小炒,桂花马蹄糖水,梨藕马蹄汤
慈菇,慈菇 约5两／份,慈菇烧肉,青椒慈菇炒肉片,干烧慈菇冬笋
鲜百合,鲜百合 约5两／颗,芦笋百合烩虾仁,绿豆百合汤,
板栗,板栗 约5两／份,板栗炖鸡,板栗烧肉,板栗焖鸭
黄玉米,黄玉米 约6两／根,玉米炒肉末,奶香玉米汁,番茄土豆玉米排骨汤
白玉米,白玉米 约6两／根,水煮玉米,玉米杂粮饭,
,,,,
草菇,草菇 约5两／份,蚝油草菇,草菇芦笋炒牛肉,草菇虾仁
平菇,平菇 约5两／份,平菇肉片,平菇小白菜,平菇鸡蛋
鲜香菇,鲜香菇 约5两／份,香菇酿肉,小炒鲜香菇,鲜虾香菇盏
鲜茶树菇,鲜茶树菇 约5两／份,干煸茶树菇,茶树菇排骨汤,茶树菇炖鸡
白蘑菇,白蘑菇 约5两／份,葱油炒蘑菇,双菇荠菜羹,芦笋炒蘑菇
杏鲍菇,杏鲍菇 约5两／份,耗油杏鲍菇,爆炒杏鲍菇,酱爆杏鲍菇
白玉菇,白玉菇 约5两／份,素炒白玉菇,凉拌白玉菇,西芹木耳白玉菇
蟹味菇,蟹味菇 约5两／份,白蟹双菇,素炒蟹味菇,蟹味菇豆腐煲
鸡枞菌,鸡纵菌 约5两／份,清炒鸡纵菌,排骨鸡纵菌汤,
金针菇,金针菇 约5两／份,金针肥牛卷,凉拌金针菇,
木耳,,爽口拌木耳,木耳炒鸡蛋,山药炒木耳
