品类,显示名称,菜谱1,菜谱2,菜谱3
大蒜头,大蒜头 3个／份 约3两,,,
大葱,大葱 约5两／根,,,
生姜,生姜 约5两／份 ,,,
洋葱,洋葱 约3两／个,,,
香菜,香菜 约2两／份,,,
小葱,小葱 约1两／份,,,
干辣椒,干辣椒,,,
花椒,花椒 ,,,
八角,八角,,,
桂皮,桂皮,,,
香叶,香叶,,,
小米椒,小米椒 约1两／份,,,
